boat_type,manufacturer,model_year,length_ft,beam_ft,engine_hp,hull_material,condition,location,days_on_lot,sale_month,sale_price
Pontoon,Tracker,2015,21.5,6.8,289,Fiberglass,Good,Rockport,165,8,34400
Deck Boat,Mako,2020,23.1,8.2,315,Fiberglass,New,Corpus Christi,6,8,56900
Deck Boat,Grady-White,2013,17.5,5.2,421,Fiberglass,Fair,Rockport,171,6,42600
Bowrider,Chaparral,2021,18.3,5.4,396,Fiberglass,Excellent,Corpus Christi,40,3,58900
Center Console,Bennington,2016,21.6,7.6,95,Aluminum,Fair,South Padre Island,138,7,27600
Deck Boat,Chaparral,2011,28.8,10.1,131,Aluminum,Excellent,Galveston,151,2,37400
Deck Boat,Bennington,2021,20.9,6.7,429,Fiberglass,Fair,Port Aransas,169,5,44600
Deck Boat,Bayliner,2022,19.5,5.7,220,Fiberglass,Good,Galveston,83,5,43900
Bowrider,Tracker,2018,26.4,8.0,292,Aluminum,New,Rockport,133,10,56200
Bay Boat,Tracker,2020,29.3,10.0,96,Fiberglass,New,Galveston,10,6,58700
Bowrider,Nautic Star,2012,22.4,7.8,114,Fiberglass,New,South Padre Island,92,7,40600
Bay Boat,Mako,2015,16.1,5.0,228,Fiberglass,Good,Rockport,192,10,33600
Deck Boat,Mako,2015,25.6,7.3,343,Fiberglass,Good,Rockport,35,6,52100
Deck Boat,Chaparral,2021,21.8,7.3,364,Fiberglass,Excellent,Port Aransas,34,10,54400
Bowrider,Sea Hunt,2015,25.4,8.6,410,Fiberglass,Excellent,Rockport,141,3,64800
Deck Boat,Bayliner,2020,19.9,6.2,148,Fiberglass,Good,Port Isabel,104,5,42400
Bay Boat,Nautic Star,2014,16.0,5.2,150,Fiberglass,Good,Rockport,93,2,36500
Center Console,Chaparral,2019,20.8,7.5,278,Fiberglass,Good,Rockport,53,7,50900
Bay Boat,Nautic Star,2013,25.9,7.8,280,Aluminum,Good,Rockport,38,12,41600
Bowrider,Sea Hunt,2018,21.5,7.0,88,Aluminum,Good,Rockport,148,7,33300
Center Console,Boston Whaler,2011,19.1,6.3,242,Fiberglass,Fair,Port Aransas,74,7,37000
Bowrider,Chaparral,2021,22.5,7.3,411,Fiberglass,Excellent,Rockport,156,4,53800
Deck Boat,Bennington,2010,26.5,9.3,136,Fiberglass,New,Port Aransas,91,11,41400
Center Console,Robalo,2024,17.7,5.8,382,Fiberglass,New,South Padre Island,82,6,89200
Bay Boat,Tracker,2022,25.7,8.2,242,Fiberglass,Good,Port Isabel,49,4,54300
Deck Boat,Sea Hunt,2018,25.3,7.3,271,Fiberglass,Excellent,Port Aransas,133,12,48300
Bay Boat,Tracker,2023,21.2,7.1,315,Fiberglass,Fair,Port Isabel,60,6,44600
Center Console,Boston Whaler,2022,29.6,8.6,339,Aluminum,Good,South Padre Island,182,5,66300
Pontoon,Nautic Star,2012,28.5,8.0,314,Aluminum,Good,Port Aransas,84,1,36200
Pontoon,Robalo,2021,20.4,6.5,113,Fiberglass,Good,Corpus Christi,163,3,31200
Center Console,Boston Whaler,2015,16.4,5.3,185,Fiberglass,Excellent,Galveston,96,9,50300
Bay Boat,Robalo,2022,20.3,7.3,391,Fiberglass,Good,South Padre Island,85,6,57600
Bay Boat,Nautic Star,2022,18.9,6.4,90,Fiberglass,New,Galveston,93,12,45500
Pontoon,Robalo,2024,23.7,8.2,343,Fiberglass,Good,Corpus Christi,91,2,57100
Pontoon,Robalo,2016,28.9,8.9,270,Fiberglass,Fair,Port Aransas,98,7,34800
Pontoon,Bayliner,2012,28.2,9.0,119,Aluminum,Good,Corpus Christi,177,8,25500
Bowrider,Chaparral,2011,20.3,7.3,121,Fiberglass,Fair,Port Aransas,142,7,27600
Pontoon,Mako,2012,22.0,6.9,442,Aluminum,Excellent,Port Isabel,11,6,52200
Bay Boat,Robalo,2024,16.5,5.7,86,Fiberglass,Good,Corpus Christi,16,7,38700
Center Console,Robalo,2018,23.6,7.6,83,Fiberglass,Good,Rockport,9,8,38000
Pontoon,Tracker,2015,16.9,5.0,81,Fiberglass,Good,Corpus Christi,139,10,24800
Bowrider,Grady-White,2016,29.1,9.5,310,Fiberglass,New,Galveston,45,5,78700
Bowrider,Mako,2012,28.1,8.4,422,Fiberglass,Excellent,Port Isabel,80,6,63900
Bay Boat,Chaparral,2018,19.0,5.3,139,Aluminum,Good,South Padre Island,166,7,35700
Bay Boat,Tracker,2016,25.8,7.7,373,Fiberglass,New,Port Aransas,30,5,81700
Center Console,Sea Hunt,2021,24.0,7.1,344,Fiberglass,Good,Galveston,34,3,55700
Center Console,Robalo,2010,27.2,8.4,161,Fiberglass,Good,Port Aransas,20,12,39700
Deck Boat,Sea Hunt,2023,22.7,8.0,101,Fiberglass,Fair,Port Isabel,60,4,34900
Deck Boat,Robalo,2010,18.7,5.8,257,Fiberglass,New,Port Isabel,22,4,58600
Bay Boat,Chaparral,2016,25.0,8.7,105,Fiberglass,Fair,Galveston,127,7,30700
Bay Boat,Nautic Star,2015,17.1,5.5,117,Aluminum,New,Galveston,148,2,42500
Bowrider,Chaparral,2020,24.2,6.8,249,Fiberglass,Good,Galveston,40,1,45700
Deck Boat,Boston Whaler,2019,19.0,5.6,380,Fiberglass,Good,Rockport,107,2,49200
Bowrider,Boston Whaler,2012,25.6,9.1,447,Fiberglass,New,South Padre Island,64,3,86000
Bowrider,Bayliner,2017,27.6,9.1,310,Aluminum,New,Port Isabel,20,6,71800
Bay Boat,Chaparral,2018,17.5,6.2,178,Fiberglass,New,South Padre Island,96,9,52600
Bay Boat,Robalo,2016,21.6,6.6,198,Fiberglass,Good,Corpus Christi,140,5,43900
Bowrider,Robalo,2010,26.3,8.9,304,Fiberglass,Good,Rockport,49,6,51900
Pontoon,Bayliner,2012,18.3,6.3,139,Fiberglass,New,Galveston,158,7,35700
Bay Boat,Tracker,2017,23.9,8.6,269,Fiberglass,New,Port Isabel,198,5,58100
Pontoon,Boston Whaler,2013,25.4,7.1,363,Fiberglass,Good,South Padre Island,15,6,52400
Deck Boat,Mako,2018,21.0,7.5,390,Fiberglass,Excellent,South Padre Island,36,5,53300
Bowrider,Boston Whaler,2012,27.6,8.6,97,Fiberglass,Good,Galveston,61,5,43200
Bay Boat,Nautic Star,2021,23.1,8.0,183,Fiberglass,Fair,South Padre Island,170,5,36300
Bowrider,Tracker,2012,24.8,8.0,170,Aluminum,Good,Rockport,32,1,36300
Bowrider,Mako,2019,18.0,5.9,283,Aluminum,Fair,South Padre Island,96,10,32300
Center Console,Nautic Star,2022,16.3,5.0,144,Fiberglass,Good,Rockport,109,12,39900
Center Console,Boston Whaler,2015,16.7,5.8,431,Fiberglass,Good,South Padre Island,30,10,50800
Deck Boat,Boston Whaler,2012,28.7,8.6,418,Fiberglass,Excellent,Port Aransas,13,1,71200
Center Console,Mako,2010,28.4,9.1,199,Aluminum,New,Port Isabel,28,8,50900
Bay Boat,Mako,2015,27.3,8.9,227,Fiberglass,Good,Galveston,15,7,38500
Deck Boat,Bayliner,2011,18.8,6.4,239,Fiberglass,New,Rockport,102,2,46200
Bowrider,Tracker,2023,23.4,7.4,90,Fiberglass,Fair,Galveston,187,11,28800
Bowrider,Tracker,2024,27.1,9.1,408,Aluminum,Good,South Padre Island,73,9,64000
Center Console,Bayliner,2024,25.4,8.1,367,Fiberglass,Fair,Port Isabel,55,3,45800
Bowrider,Nautic Star,2023,17.6,5.9,199,Fiberglass,Excellent,South Padre Island,50,12,49600
Center Console,Grady-White,2018,28.5,9.5,280,Aluminum,Good,Port Isabel,196,3,56500
Pontoon,Nautic Star,2014,18.2,6.1,217,Fiberglass,Good,South Padre Island,191,6,31800
Bowrider,Grady-White,2016,18.4,6.4,160,Aluminum,Excellent,Corpus Christi,131,3,50900
Bowrider,Mako,2013,28.6,9.2,189,Fiberglass,Good,Corpus Christi,95,3,38500
Bay Boat,Bennington,2022,22.8,6.7,115,Fiberglass,Good,Port Isabel,36,12,39500
Bowrider,Sea Hunt,2016,21.2,7.1,378,Aluminum,Fair,Galveston,186,7,38600
Center Console,Mako,2015,23.8,6.8,320,Fiberglass,Good,South Padre Island,5,4,48800
Deck Boat,Robalo,2020,29.7,8.8,423,Fiberglass,New,Rockport,36,9,84200
Deck Boat,Tracker,2015,17.7,6.1,77,Fiberglass,Good,Galveston,137,10,26000
Bay Boat,Sea Hunt,2015,26.6,8.4,311,Fiberglass,Good,Galveston,40,11,44100
Center Console,Sea Hunt,2013,20.7,6.6,285,Fiberglass,New,Rockport,26,11,57300
Pontoon,Sea Hunt,2011,17.6,6.3,308,Fiberglass,Excellent,Port Aransas,121,11,39000
Bay Boat,Robalo,2010,21.9,6.5,446,Fiberglass,Excellent,Corpus Christi,10,7,63600
Pontoon,Chaparral,2016,23.7,6.7,221,Fiberglass,New,Rockport,57,5,53500
Deck Boat,Robalo,2024,18.9,5.5,127,Fiberglass,Good,Corpus Christi,130,11,42400
Bay Boat,Tracker,2013,21.7,6.5,79,Fiberglass,Excellent,Rockport,41,3,35100
Bowrider,Grady-White,2019,24.9,8.4,259,Fiberglass,Good,Corpus Christi,153,3,51300
Center Console,Bennington,2014,24.1,8.2,140,Fiberglass,Excellent,Port Aransas,23,6,38700
Pontoon,Chaparral,2014,26.1,8.5,127,Aluminum,Good,Rockport,124,4,28400
Pontoon,Sea Hunt,2012,27.7,8.3,130,Fiberglass,Excellent,Galveston,19,7,40600
Bay Boat,Bennington,2018,21.7,7.0,178,Fiberglass,Fair,Rockport,147,11,24700
Bay Boat,Grady-White,2019,21.9,6.2,118,Fiberglass,New,Galveston,151,6,67000
Center Console,Sea Hunt,2015,23.0,7.7,257,Aluminum,Good,Corpus Christi,159,7,40500
Bowrider,Bayliner,2017,23.9,7.9,320,Fiberglass,Excellent,Port Isabel,60,6,60200
Bowrider,Bennington,2017,17.5,4.9,183,Fiberglass,Excellent,Port Aransas,51,8,34100
Bay Boat,Tracker,2014,20.4,7.0,126,Fiberglass,Good,Corpus Christi,195,2,32100
Center Console,Sea Hunt,2020,18.4,6.3,289,Fiberglass,Good,Port Isabel,147,1,53800
Center Console,Chaparral,2018,21.4,6.5,107,Aluminum,Fair,Port Aransas,40,7,31900
Center Console,Bennington,2010,29.6,9.8,351,Aluminum,Excellent,Galveston,10,6,54800
Bowrider,Bennington,2017,24.2,7.9,218,Fiberglass,Excellent,South Padre Island,74,5,41700
Bowrider,Bennington,2015,22.0,6.4,228,Fiberglass,Good,Rockport,134,5,36100
Center Console,Chaparral,2021,23.9,7.1,168,Fiberglass,Good,Corpus Christi,78,2,51000
Pontoon,Bayliner,2014,25.4,8.5,181,Fiberglass,Excellent,Corpus Christi,162,8,36400
Center Console,Sea Hunt,2024,22.1,7.8,129,Aluminum,Good,South Padre Island,102,6,45300
Bay Boat,Grady-White,2019,22.3,7.3,284,Fiberglass,Good,South Padre Island,198,6,57600
Deck Boat,Nautic Star,2011,25.8,8.4,129,Fiberglass,Good,Rockport,174,10,25500
Pontoon,Bayliner,2016,16.9,5.6,330,Fiberglass,Excellent,Galveston,96,8,46200
Bowrider,Grady-White,2023,23.6,7.4,171,Aluminum,Excellent,Corpus Christi,167,4,60300
Center Console,Bennington,2013,23.7,6.7,287,Fiberglass,Excellent,Port Isabel,92,7,51700
Center Console,Nautic Star,2020,26.6,8.3,276,Fiberglass,Good,South Padre Island,6,3,51500
Bay Boat,Nautic Star,2021,29.8,10.5,312,Fiberglass,Excellent,Port Isabel,65,4,55900
Bay Boat,Mako,2020,27.1,9.3,359,Fiberglass,Good,Port Isabel,84,8,50300
Bowrider,Robalo,2011,23.1,8.2,285,Fiberglass,Good,Corpus Christi,195,3,46100
Pontoon,Boston Whaler,2015,18.4,5.4,394,Aluminum,Good,Galveston,166,4,57300
Bay Boat,Mako,2015,24.2,7.8,172,Aluminum,New,South Padre Island,33,10,48800
Bowrider,Boston Whaler,2015,27.7,9.1,356,Aluminum,Excellent,South Padre Island,5,8,73000
Deck Boat,Tracker,2023,29.1,8.6,203,Aluminum,Good,Port Aransas,108,11,43100
Deck Boat,Chaparral,2010,27.6,8.2,310,Fiberglass,Good,Galveston,109,10,37900
Deck Boat,Tracker,2018,18.6,6.4,259,Fiberglass,Fair,South Padre Island,148,5,32400
Center Console,Mako,2024,26.0,8.7,415,Fiberglass,Excellent,Port Aransas,55,7,77900
Bowrider,Bayliner,2023,28.3,9.4,176,Fiberglass,Fair,Port Aransas,163,5,38500
Center Console,Robalo,2019,25.5,7.7,269,Aluminum,Excellent,Corpus Christi,85,8,58100
Center Console,Boston Whaler,2024,25.6,8.2,136,Fiberglass,Excellent,Port Isabel,70,5,61500
Bay Boat,Robalo,2016,23.0,6.5,312,Aluminum,New,Rockport,86,1,73900
Bay Boat,Bennington,2019,24.9,7.2,88,Fiberglass,Good,South Padre Island,189,2,34800
Center Console,Grady-White,2018,20.1,6.5,229,Fiberglass,Excellent,South Padre Island,81,9,58400
Center Console,Tracker,2010,17.2,5.2,78,Fiberglass,Excellent,Corpus Christi,114,2,36800
Pontoon,Bayliner,2010,27.6,9.9,197,Fiberglass,Good,Port Aransas,178,7,33600
Bowrider,Grady-White,2023,29.2,9.3,256,Fiberglass,Good,Port Isabel,8,10,65400
Center Console,Nautic Star,2012,28.0,8.0,199,Fiberglass,New,Corpus Christi,109,8,49800
Bay Boat,Nautic Star,2015,20.7,5.8,219,Fiberglass,New,Corpus Christi,143,6,57700
Deck Boat,Bayliner,2019,17.3,5.8,130,Aluminum,Good,Port Isabel,181,4,35500
Bowrider,Nautic Star,2018,19.9,5.8,342,Fiberglass,Excellent,Galveston,16,11,53800
Pontoon,Mako,2017,27.8,8.2,373,Fiberglass,Excellent,Corpus Christi,146,7,61700
Pontoon,Sea Hunt,2024,25.2,7.9,245,Aluminum,Good,South Padre Island,161,5,45500
Deck Boat,Chaparral,2021,29.5,8.9,95,Fiberglass,Excellent,Rockport,73,11,42700
Deck Boat,Tracker,2024,20.8,6.8,98,Aluminum,Good,South Padre Island,150,4,36900
Center Console,Boston Whaler,2019,23.7,7.6,328,Fiberglass,Excellent,South Padre Island,101,6,81900
Bowrider,Sea Hunt,2024,27.1,7.8,423,Fiberglass,Excellent,Galveston,133,2,66500
Bowrider,Tracker,2019,19.3,6.6,399,Fiberglass,New,Galveston,81,3,77400
Center Console,Mako,2018,29.5,9.3,227,Fiberglass,Excellent,Port Isabel,39,5,49900
Pontoon,Nautic Star,2022,24.3,8.0,261,Aluminum,New,Port Aransas,166,8,59600
Center Console,Sea Hunt,2023,16.1,4.5,136,Aluminum,Excellent,Port Aransas,47,5,47800
Pontoon,Boston Whaler,2011,16.4,5.4,101,Fiberglass,Fair,Corpus Christi,41,8,25400
Bowrider,Sea Hunt,2023,28.4,8.6,362,Fiberglass,Good,Galveston,177,9,52600
Center Console,Tracker,2020,25.0,8.0,235,Fiberglass,Excellent,Galveston,187,10,49500
Deck Boat,Bayliner,2023,26.7,8.1,261,Fiberglass,Good,South Padre Island,123,1,46300
Center Console,Boston Whaler,2020,27.0,9.7,203,Aluminum,Good,Rockport,118,9,52200
Deck Boat,Grady-White,2023,21.9,6.5,192,Fiberglass,Good,South Padre Island,75,3,57200
Bowrider,Grady-White,2014,27.2,9.6,444,Fiberglass,Excellent,Port Aransas,124,8,63400
Center Console,Chaparral,2012,29.1,10.3,381,Fiberglass,Excellent,Galveston,123,5,59100
Bay Boat,Robalo,2012,18.4,5.8,334,Aluminum,Excellent,South Padre Island,105,8,52500
Bowrider,Tracker,2013,26.7,8.1,220,Aluminum,New,South Padre Island,132,4,61200
Bay Boat,Robalo,2013,20.3,6.3,345,Fiberglass,Excellent,South Padre Island,113,7,55100
Center Console,Robalo,2016,20.5,7.4,202,Fiberglass,Fair,Port Isabel,176,3,36000
Deck Boat,Nautic Star,2012,21.8,7.2,268,Fiberglass,Fair,Port Aransas,135,3,31500
Deck Boat,Boston Whaler,2012,28.1,9.1,129,Fiberglass,New,Port Aransas,80,7,45500
Pontoon,Chaparral,2017,16.3,4.6,341,Fiberglass,Good,Galveston,132,5,38500
Bay Boat,Mako,2021,22.1,7.7,97,Fiberglass,Excellent,Corpus Christi,49,8,41600
Bowrider,Grady-White,2012,25.5,7.3,345,Fiberglass,Good,Corpus Christi,46,8,48800
Deck Boat,Mako,2017,17.5,5.0,301,Fiberglass,Good,Galveston,166,7,35900
Bay Boat,Sea Hunt,2019,27.1,8.2,99,Fiberglass,New,Galveston,118,8,53500
Bowrider,Chaparral,2020,29.2,9.3,264,Fiberglass,Good,Galveston,15,9,47400
Bowrider,Chaparral,2011,17.3,6.1,158,Fiberglass,Fair,Corpus Christi,74,11,23200
Deck Boat,Robalo,2021,18.1,6.2,253,Fiberglass,Good,Port Isabel,196,2,44800
Center Console,Bayliner,2010,29.6,8.8,79,Aluminum,Good,South Padre Island,129,7,31400
Deck Boat,Chaparral,2013,18.8,5.8,345,Fiberglass,Good,Corpus Christi,174,8,41100
Deck Boat,Bayliner,2014,17.1,5.9,266,Fiberglass,Excellent,Port Aransas,111,4,43700
Center Console,Chaparral,2022,29.3,9.4,210,Fiberglass,New,Port Aransas,13,4,74600
Pontoon,Bennington,2012,28.5,8.4,403,Fiberglass,Good,South Padre Island,40,4,43800
Bowrider,Bayliner,2021,25.2,7.9,316,Fiberglass,New,South Padre Island,22,7,68900
Center Console,Robalo,2024,23.7,7.8,303,Fiberglass,Good,South Padre Island,148,5,68700
Pontoon,Tracker,2024,28.9,10.3,130,Aluminum,Excellent,South Padre Island,152,8,49500
Center Console,Nautic Star,2014,25.2,8.4,262,Fiberglass,Excellent,Port Isabel,94,7,56000
Pontoon,Bayliner,2011,25.2,7.1,337,Fiberglass,Excellent,Port Isabel,146,7,45500
Deck Boat,Boston Whaler,2013,27.8,9.4,422,Fiberglass,Fair,South Padre Island,112,4,50700
Center Console,Bayliner,2021,25.1,7.5,301,Fiberglass,Excellent,Port Isabel,149,9,55600
Bowrider,Sea Hunt,2012,23.1,8.1,139,Fiberglass,Excellent,Rockport,136,8,30300
Center Console,Tracker,2019,21.5,6.7,329,Aluminum,Excellent,Rockport,93,3,54800
Deck Boat,Grady-White,2015,23.0,6.8,102,Fiberglass,Good,Port Aransas,132,4,38900
Center Console,Robalo,2021,23.3,7.4,192,Fiberglass,Fair,South Padre Island,67,5,41900
Bowrider,Nautic Star,2019,21.1,6.3,418,Fiberglass,Excellent,South Padre Island,151,11,63700
Pontoon,Chaparral,2018,22.3,6.7,375,Fiberglass,Fair,Corpus Christi,183,5,41500
Bowrider,Robalo,2021,27.2,8.9,413,Aluminum,Excellent,Corpus Christi,45,1,67500
Deck Boat,Bayliner,2024,21.8,7.4,207,Fiberglass,Good,Galveston,135,3,48900
Deck Boat,Nautic Star,2015,16.4,5.7,331,Fiberglass,New,South Padre Island,26,1,54000
Pontoon,Sea Hunt,2017,20.0,6.2,337,Fiberglass,Good,Rockport,78,5,46400
Pontoon,Bayliner,2019,19.2,5.5,167,Fiberglass,Good,Rockport,135,9,35400
Bowrider,Boston Whaler,2022,27.1,8.6,428,Fiberglass,Good,Corpus Christi,59,6,81800
Center Console,Sea Hunt,2017,22.3,7.0,438,Fiberglass,Excellent,Port Isabel,51,9,59400
Pontoon,Robalo,2015,19.9,5.9,116,Fiberglass,Good,South Padre Island,79,1,35200
Center Console,Sea Hunt,2022,27.3,9.6,362,Aluminum,Fair,Galveston,27,6,40900
Bay Boat,Grady-White,2024,16.3,5.8,242,Fiberglass,Good,Port Isabel,126,9,58600
Bowrider,Chaparral,2018,18.4,5.2,327,Fiberglass,Good,Galveston,30,8,44800
Bay Boat,Sea Hunt,2011,27.6,9.5,282,Fiberglass,Good,Corpus Christi,69,10,39300
Pontoon,Tracker,2014,23.7,7.9,158,Fiberglass,Excellent,Port Aransas,65,4,32600
Deck Boat,Tracker,2016,26.8,8.1,110,Aluminum,Fair,South Padre Island,193,6,26600
Bay Boat,Tracker,2020,27.7,9.2,267,Fiberglass,Excellent,Corpus Christi,198,8,59400
Bay Boat,Nautic Star,2020,29.2,8.5,388,Aluminum,Good,Port Aransas,20,3,56700
Deck Boat,Robalo,2022,16.9,4.8,383,Aluminum,New,Rockport,35,9,75700
Pontoon,Boston Whaler,2010,27.2,9.8,178,Fiberglass,Excellent,Corpus Christi,147,5,46200
Pontoon,Tracker,2016,25.9,8.6,397,Fiberglass,Good,Port Aransas,63,2,51700
Bowrider,Tracker,2020,18.9,5.7,208,Aluminum,Good,Galveston,130,9,39700
Bowrider,Nautic Star,2024,29.0,9.2,285,Fiberglass,Fair,Corpus Christi,184,8,37500
Pontoon,Bennington,2012,21.7,7.7,196,Fiberglass,Fair,Port Aransas,36,10,24400
Pontoon,Grady-White,2023,28.4,8.9,271,Aluminum,New,Port Isabel,192,10,79800
Bay Boat,Bayliner,2010,24.5,8.6,273,Aluminum,Excellent,Galveston,15,4,49200
Deck Boat,Nautic Star,2012,23.4,8.2,336,Fiberglass,Excellent,Port Isabel,49,7,47400
Center Console,Chaparral,2022,18.2,5.6,251,Fiberglass,Good,South Padre Island,103,12,55300
Bay Boat,Chaparral,2021,28.8,9.7,273,Fiberglass,Good,Galveston,176,4,56900
Bowrider,Robalo,2024,23.8,7.9,319,Aluminum,Fair,Port Aransas,113,6,50300
Deck Boat,Bennington,2019,16.1,5.5,231,Fiberglass,Good,South Padre Island,32,11,38900
Center Console,Grady-White,2019,16.3,5.0,271,Fiberglass,New,Port Aransas,53,2,80900
Pontoon,Robalo,2018,26.9,7.6,107,Fiberglass,Good,Rockport,153,11,37400
Bowrider,Mako,2017,18.3,5.4,401,Aluminum,Good,Port Aransas,114,6,41000
Bowrider,Sea Hunt,2017,24.4,8.0,122,Aluminum,Good,Port Aransas,7,10,35800
Bay Boat,Robalo,2014,25.5,8.7,402,Fiberglass,New,South Padre Island,102,7,72800
Deck Boat,Sea Hunt,2022,19.9,6.8,360,Fiberglass,Excellent,South Padre Island,84,8,53800
Deck Boat,Bayliner,2015,24.0,7.8,430,Aluminum,Excellent,Port Aransas,5,9,53700
Bay Boat,Grady-White,2019,19.4,5.6,84,Aluminum,Excellent,South Padre Island,53,2,43000
Bay Boat,Bayliner,2020,29.2,8.2,156,Fiberglass,Good,Port Aransas,187,7,36300
Bay Boat,Sea Hunt,2018,28.0,9.6,94,Fiberglass,Excellent,Port Isabel,142,11,44800
Bowrider,Sea Hunt,2019,20.0,6.5,231,Fiberglass,Good,Galveston,18,12,42900
Pontoon,Chaparral,2010,23.4,8.0,414,Fiberglass,Good,Port Isabel,8,12,33000
Bowrider,Bennington,2014,23.0,6.7,362,Fiberglass,Fair,Port Isabel,72,7,35000
Bowrider,Mako,2016,29.4,9.2,338,Fiberglass,New,Galveston,95,7,70100
Bowrider,Sea Hunt,2015,21.5,7.6,393,Fiberglass,New,Rockport,93,7,62900
Center Console,Chaparral,2023,23.9,7.0,76,Aluminum,Excellent,Corpus Christi,140,7,51800
Bowrider,Grady-White,2023,29.0,8.3,370,Fiberglass,Excellent,Port Isabel,38,7,84700
Center Console,Boston Whaler,2020,18.3,6.1,192,Fiberglass,Excellent,South Padre Island,14,1,55700
Deck Boat,Sea Hunt,2015,23.7,7.8,334,Fiberglass,Good,Rockport,136,2,44200
Deck Boat,Bennington,2010,17.5,6.2,361,Fiberglass,Excellent,Port Aransas,179,7,42400
Bay Boat,Bayliner,2021,24.6,8.7,332,Fiberglass,New,Corpus Christi,37,5,65400
Center Console,Robalo,2023,21.1,7.2,231,Fiberglass,Excellent,Port Isabel,75,5,57400
Center Console,Nautic Star,2017,29.5,8.3,304,Fiberglass,Good,South Padre Island,127,4,49900
Bowrider,Bayliner,2022,21.8,6.9,250,Fiberglass,Fair,Corpus Christi,37,9,33900
Bay Boat,Robalo,2023,17.9,6.3,310,Aluminum,Good,Galveston,172,12,54100
Bay Boat,Tracker,2018,27.7,8.7,247,Fiberglass,Good,Corpus Christi,48,7,49800
Bowrider,Bayliner,2013,27.5,9.8,222,Aluminum,Good,South Padre Island,108,11,38700
Center Console,Bennington,2010,25.7,8.5,150,Aluminum,Good,Rockport,71,10,34400
Bowrider,Robalo,2021,26.5,7.7,220,Aluminum,Excellent,Rockport,135,4,58800
Bowrider,Boston Whaler,2018,19.7,6.3,345,Fiberglass,Good,South Padre Island,43,3,64800
Deck Boat,Bennington,2012,25.0,8.4,401,Fiberglass,Good,South Padre Island,24,4,47500
Center Console,Chaparral,2010,16.5,4.7,113,Fiberglass,Excellent,Port Isabel,104,2,31900
Center Console,Bennington,2024,18.8,5.8,143,Fiberglass,Good,Port Aransas,173,7,50100
Bay Boat,Sea Hunt,2014,29.1,9.8,265,Fiberglass,Good,Corpus Christi,128,4,37000
Deck Boat,Chaparral,2014,26.3,7.7,338,Aluminum,Good,Corpus Christi,152,11,35600
Center Console,Bennington,2019,19.2,5.9,138,Fiberglass,New,Rockport,89,7,54600
Deck Boat,Tracker,2015,17.6,5.9,196,Aluminum,Good,South Padre Island,32,5,35600
Center Console,Bayliner,2023,29.3,10.0,92,Fiberglass,Fair,Corpus Christi,88,12,30600
Deck Boat,Boston Whaler,2020,17.6,5.7,94,Fiberglass,New,Port Aransas,197,12,49300
Center Console,Bayliner,2015,19.6,7.0,128,Fiberglass,Excellent,Corpus Christi,157,9,35200
Pontoon,Nautic Star,2013,18.6,6.6,348,Fiberglass,New,Rockport,142,9,53400
Center Console,Bennington,2022,16.1,5.1,401,Fiberglass,New,South Padre Island,63,12,81200
Center Console,Bennington,2018,20.4,6.0,262,Fiberglass,Fair,Corpus Christi,121,7,41300
Center Console,Tracker,2023,29.6,10.1,141,Fiberglass,Good,Port Aransas,126,10,39000
Bowrider,Chaparral,2015,20.8,6.2,420,Fiberglass,Excellent,Galveston,132,2,51000
Center Console,Tracker,2010,23.1,8.0,179,Fiberglass,Excellent,Galveston,179,7,34600
Deck Boat,Mako,2023,26.4,8.6,133,Aluminum,Fair,Rockport,137,6,37000
Deck Boat,Boston Whaler,2013,23.7,7.4,126,Fiberglass,Excellent,Corpus Christi,48,1,47000
Deck Boat,Bayliner,2022,26.4,8.6,207,Fiberglass,Good,Corpus Christi,48,2,45900
Pontoon,Sea Hunt,2020,25.3,8.2,350,Fiberglass,Excellent,Corpus Christi,125,1,54800
Bowrider,Grady-White,2013,24.5,8.7,223,Fiberglass,New,South Padre Island,173,5,62800
Bay Boat,Tracker,2021,25.1,7.5,242,Fiberglass,Good,Rockport,189,2,43300
Bowrider,Nautic Star,2011,27.2,9.6,202,Fiberglass,New,Galveston,123,6,51500
Bay Boat,Sea Hunt,2015,25.9,7.3,428,Aluminum,Good,Port Aransas,108,9,49100
Bowrider,Bennington,2015,27.1,9.3,331,Fiberglass,Excellent,Galveston,164,7,47700
Deck Boat,Sea Hunt,2019,18.0,6.4,324,Fiberglass,Good,Galveston,195,8,44900
Pontoon,Mako,2018,25.5,7.9,239,Fiberglass,Good,Port Aransas,10,1,39100
Bowrider,Chaparral,2019,26.3,7.5,274,Fiberglass,Good,Rockport,65,9,45500
Pontoon,Robalo,2017,20.2,7.0,406,Fiberglass,New,South Padre Island,70,3,70100
Bowrider,Boston Whaler,2021,28.2,9.8,321,Fiberglass,Good,Corpus Christi,115,5,71800
Deck Boat,Boston Whaler,2012,20.3,6.2,380,Fiberglass,Fair,South Padre Island,62,6,44600
Center Console,Tracker,2020,19.4,6.2,90,Fiberglass,Excellent,Rockport,65,11,38500
Deck Boat,Grady-White,2010,28.1,9.7,397,Fiberglass,Excellent,Rockport,9,12,62200
Center Console,Bayliner,2011,19.5,5.8,431,Fiberglass,Good,Port Aransas,5,9,48500
Bowrider,Bayliner,2020,21.8,7.2,325,Fiberglass,Excellent,Rockport,92,8,56600
Bay Boat,Bayliner,2012,21.2,6.7,433,Fiberglass,Good,South Padre Island,199,6,52500
